iter	Passed	Remaining
0	0	79
1	1	75
2	2	68
3	2	62
4	3	61
5	3	61
6	4	60
7	5	59
8	5	58
9	6	57
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	24	37
40	25	36
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	32	29
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	63	0
99	64	0
