iter	Passed	Remaining
0	179	179170
1	180	89856
2	180	60068
3	181	45148
4	181	36217
5	182	30260
6	183	25999
7	183	22792
8	184	20312
9	185	18341
10	185	16716
11	186	15378
12	187	14234
13	190	13402
14	191	12552
15	191	11795
16	192	11123
17	192	10523
18	193	9990
19	194	9509
20	194	9072
21	195	8675
22	195	8325
23	196	7994
24	197	7690
25	197	7409
26	198	7149
27	199	6916
28	199	6692
29	200	6482
30	201	6286
31	201	6103
32	202	5927
33	203	5776
34	204	5637
35	205	5503
36	206	5371
37	207	5240
38	207	5116
39	208	5000
40	208	4887
41	209	4783
42	210	4687
43	211	4592
44	212	4502
45	212	4413
46	213	4332
47	214	4251
48	215	4179
49	216	4106
50	216	4035
51	218	3982
52	219	3921
53	220	3857
54	220	3794
55	221	3732
56	222	3673
57	222	3618
58	223	3564
59	224	3511
60	224	3462
61	225	3413
62	226	3366
63	227	3321
64	227	3274
65	228	3232
66	229	3193
67	230	3152
68	230	3111
69	231	3074
70	232	3036
71	233	3005
72	234	2974
73	235	2948
74	236	2914
75	237	2882
76	237	2852
77	238	2821
78	239	2790
79	240	2760
80	240	2731
81	241	2703
82	241	2672
83	242	2647
84	243	2621
85	244	2596
86	245	2571
87	245	2548
88	246	2523
89	247	2501
90	248	2479
91	249	2462
92	250	2441
93	251	2421
94	251	2399
95	252	2379
96	253	2358
97	254	2338
98	254	2318
99	255	2300
100	256	2281
101	257	2264
102	257	2245
103	258	2229
104	259	2212
105	260	2195
106	260	2177
107	261	2162
108	262	2146
109	263	2133
110	265	2123
111	265	2108
112	266	2094
113	267	2080
114	268	2066
115	269	2053
116	270	2038
117	271	2026
118	271	2012
119	272	1999
120	273	1985
121	274	1972
122	274	1958
123	275	1946
124	276	1934
125	277	1921
126	277	1909
127	278	1899
128	280	1891
129	280	1880
130	281	1869
131	282	1858
132	283	1849
133	284	1838
134	285	1828
135	286	1822
136	287	1813
137	289	1807
138	290	1799
139	291	1788
140	291	1777
141	292	1766
142	293	1756
143	294	1748
144	295	1741
145	296	1733
146	297	1724
147	298	1716
148	299	1709
149	300	1700
150	300	1691
151	301	1683
152	302	1674
153	303	1666
154	304	1657
155	304	1649
156	305	1641
157	306	1633
158	307	1625
159	308	1618
160	309	1610
161	310	1604
162	311	1597
163	312	1590
164	312	1583
165	313	1576
166	314	1568
167	315	1561
168	316	1554
169	316	1547
170	317	1540
171	318	1533
172	319	1527
173	320	1520
174	321	1513
175	321	1506
176	322	1499
177	323	1493
178	324	1488
179	325	1484
180	326	1478
181	327	1472
182	328	1465
183	329	1459
184	329	1453
185	330	1447
186	331	1440
187	332	1435
188	333	1429
189	333	1423
190	334	1417
191	335	1412
192	336	1406
193	337	1400
194	337	1394
195	338	1389
196	340	1386
197	341	1381
198	342	1376
199	342	1371
200	343	1366
201	344	1361
202	345	1356
203	346	1350
204	346	1345
205	347	1340
206	348	1335
207	349	1330
208	350	1325
209	350	1320
210	351	1315
211	352	1310
212	353	1305
213	354	1301
214	355	1297
215	356	1293
216	356	1287
217	357	1283
218	358	1278
219	359	1274
220	360	1269
221	361	1265
222	361	1261
223	362	1256
